date,regime_label,regime_label_raw,prob_high_tpu,prob_high_tpu_smooth,prob_mid_tpu_smooth,prob_low_tpu_smooth,log_tpu,delta_log_tpu,vix,tpu
2024-07-26,Mid-TPU,Low-TPU,1.1835203171264342e-10,4.373399431120655e-06,0.5058811875629625,0.49411443903766816,4.691164379154952,-0.6301856865036566,18.46,108.98
2024-07-29,Low-TPU,Low-TPU,4.9111523580657424e-08,3.7939128877245813e-06,0.41476511008686706,0.5852310960002995,5.93436495506741,1.2432005759124571,16.39,377.8
2024-07-30,Low-TPU,Low-TPU,7.220157945269894e-10,3.190977071000663e-06,0.3261926303194524,0.6738041787035157,5.1431828695980455,-0.7911820854693641,16.6,171.26
2024-07-31,Low-TPU,Low-TPU,1.0194919075061535e-10,1.8885041925482975e-06,0.24187505944295373,0.7581230520528897,4.829513017877783,-0.3136698517202623,17.69,125.15
2024-08-01,Low-TPU,Low-TPU,3.935295468321321e-09,1.2228391921109944e-07,0.16101746675411213,0.8389824109619965,5.499746864955492,0.6702338470777089,16.36,244.63
2024-08-02,Low-TPU,Low-TPU,5.095446449999856e-10,1.1840095642357873e-07,0.12007357643375278,0.8799263051653347,5.099988371608265,-0.39975849334722735,18.59,164.02
2024-08-05,Low-TPU,Low-TPU,7.508504390113015e-09,1.1838984401866127e-07,0.10301874981175758,0.8969811317984717,5.432804552256789,0.3328161806485239,23.39,228.79
2024-08-06,Low-TPU,Low-TPU,7.439686856476522e-07,1.1364541605774651e-07,0.09126613321196592,0.9087337531426982,6.562218079453861,1.1294135271970722,38.57,707.84
2024-08-07,Low-TPU,Low-TPU,3.776251474884152e-07,1.135826684789033e-07,0.0891928161052596,0.9108070703121793,6.3922185754860275,-0.16999950396783348,27.71,597.18
2024-08-08,Low-TPU,Low-TPU,4.085459986377229e-10,1.1377929761073484e-07,0.10091077947831939,0.8990891067424556,5.016153374780161,-1.3760652007058667,27.85,150.83
2024-08-09,Low-TPU,Low-TPU,7.227982538134166e-12,1.1793261769060444e-07,0.13215168055081347,0.8678482015166091,4.472666836174998,-0.5434865386051628,23.79,87.59
2024-08-12,Low-TPU,Low-TPU,1.6672439715097937e-09,4.56380737645697e-07,0.18403543111777956,0.8159641125015312,5.4040728042139,0.9314059680389022,20.37,222.31
2024-08-13,Low-TPU,Low-TPU,9.454000609507454e-11,8.880213196030976e-07,0.23742716902707323,0.7625719429516582,4.839451481712757,-0.5646213225011429,20.71,126.4
2024-08-14,Low-TPU,Low-TPU,2.068240509065788e-09,8.360086506159953e-07,0.28627820534294257,0.7137209586484197,5.322912413403417,0.48346093169065973,18.12,204.98
2024-08-15,Low-TPU,Low-TPU,4.546849626701755e-08,8.617694343859961e-07,0.33453670559536086,0.6654624326352565,5.59031511306742,0.2674026996640029,16.19,267.82
2024-08-16,Low-TPU,Low-TPU,3.3849907441959256e-06,8.630941118236263e-07,0.3835723453330012,0.6164267915729429,6.492815426911429,0.9025003138440093,15.23,660.38
2024-08-19,Low-TPU,Low-TPU,4.323914323964118e-06,8.708715459117401e-07,0.43186239356271,0.5681367355657749,6.490981467850926,-0.0018339590605034317,14.8,659.17
2024-08-20,Low-TPU,Low-TPU,2.2384199577662954e-07,8.834048053143085e-07,0.47573714546035806,0.52426197113486,5.681877639268151,-0.8091038285827743,14.65,293.5
2024-08-21,Mid-TPU,Low-TPU,6.352329851884237e-07,8.8649834009783e-07,0.5126624308371045,0.48733668266456853,6.128418202106719,0.44654056283856747,15.88,458.71
